beatmap_id,approved,submit_date,approved_date,last_update,artist,set_id,bpm,creator,creator_id,stars,diff_aim,diff_speed,cs,od,ar,hp,drain,source,genre,language,title,length,diffname,file_md5,mode,tags,favorites,rating,playcount,passcount,circles,sliders,spinners,maxcombo,storyboard,video,download_unavailable,audio_unavailable,beatmap_id,pack_id
343741,1,2013-12-20 15:42:11,2014-05-14 17:42:16,2014-05-07 16:34:11,"Hanatan, yuikonnu & Mitani Nana",135876,190,Amamiya Yuko,873961,6.35318,3.17395,2.98706,4,7,9,5,606,,6,3,Songs Compilation,683,Rabbit Face,6690b571ea1ee4df45d8d9c948bb5c40,0,vocaloid uta ni katachi wa nai keredo 歌に形はないけれど monochroact モノクロアクト route sphere ルートスフィア drop ドロップ cat food キャットフード hyakunen yakou 百年夜行 souzou forest 想像フォレスト nijigen dream fever 二次元ドリームフィーバー aquarium of sky 空中アクアリウム hatsukoi no ehon 初恋の絵本 chikyuu saigo no kokuhaku wo 地球最後の告白を kakushigoto かくしごと shiroi yuki no princess ha ... 白い雪のプリンセスは　houkago stride 放課後ストライド tengaku 天樂 kagerou variation 影炎≒variation doriko last note. polyphonicbranch jin 40mp honeyworks kemu mafumafu noboru-p yuuyu yairi keeno skystar,-1,8.70202,161112,6468,1519,1084,1,3770,0,0,0,0,343741,S902
381490,1,2014-03-07 07:35:25,2014-05-28 13:02:34,2014-05-21 12:35:24,nao,155574,207,[Minakami Yuki],2433507,5.08526,2.45719,2.42074,4,7,9,6,614,,5,3,Songs Compilation,709,naorathon,682473f2beba6c2d690fe745579b17da,0,dystopiaground fripside 5pb demetori eroge galgame hentai visual novel sincerely memories off yubikiri no kioku 流星のビヴロスト scarlet leap entrance to you custom maid 3d cosmic cube ツクモノツキ tsukumonotsuki sugar pot opening loli raging planet blade heart tiny dungeon ～black and white～ ディラックの海より剣を dirakku no umi yori ken o blue-love chime 天色＊アイルノーツ amairo islenauts yuzusoft 咆哮!ド田舎ちゃんねる5! houkou! do inaka chan neru 5! piece of time タイムピース アンサンブル timepiece ensemble magicaride magic a ride 深紅の徒花 shinku no adabana きりひらけ! グレイシー☆スター kirihirake! gracie*star choujigen game neptune 受け継がれる真説 true theory of inheritance シンクロしようよ synchro shiyou yo chaos;head love chu*chu! nitroplus dimension tripper!!!! 超次元ゲイム ネプテューヌ 木漏れ日フレネル komorebi fresnel 1/2 summer alcot honey comb ∧ugΦeides augoeides mtbbsben troogle marathon,-1,9.4652,155700,17392,1399,801,11,3333,1,0,0,0,381490,S902
381798,1,2014-03-07 15:50:21,2014-04-09 21:22:25,2014-04-02 16:41:13,Nhato,155691,132,HanzeR,1592447,5.68106,2.96728,2.40803,4,8,9,6,365,,10,3,Miss You,366,Selentia,90ff905df224a457351d57e4edaaa6c6,0,stirup club edition v3 c85 vocaloid lapis aoki marathon,-1,9.13333,728582,61077,748,699,3,2185,0,0,0,0,381798,S902
289752,1,2013-08-16 09:20:46,2014-05-29 11:02:29,2014-05-09 11:09:23,Anan Ryoko,111386,160,Narcissu,1826598,3.98844,2.08648,1.66887,4,7,8,6,483,,6,5,Refrain,505,Refrain,d99a424b0baab40db4ba9988f84ece58,0,eternal light komeiji hatsu koishi sharlo,-1,9.5265,209161,30961,526,639,1,1919,1,0,0,0,289752,S902
260489,1,2013-06-07 23:20:11,2014-04-13 04:22:29,2014-03-27 09:56:55,Traktion,97433,174,RLC,1047883,5.41223,2.54737,2.64915,4,8,9,6,425,,10,2,The Near Distant Future,461,Lapse,764e59f25ffebd771a6a12f3185f878f,0,mission ascii ep marathon,-1,9.62095,1024444,121305,1111,694,2,2677,0,0,0,0,260489,S902
342543,1,2013-12-25 01:26:31,2014-05-31 18:42:29,2014-05-22 23:01:00,DystopiaGround,136969,207,jonathanlfj,270377,5.65909,2.65177,2.79266,4,8,9,6,365,,4,3,AugoEidEs,411,Angelic,0c2339123cd154414e840a57fc35aa4e,0,nao demetori onosakihito marathon,-1,9.60789,489679,64622,781,672,3,2544,0,0,0,0,342543,S902
343060,1,2013-12-26 05:54:05,2014-03-05 19:03:00,2014-02-23 15:37:56,Jeff Williams,137196,140,happy623,324768,5.30642,2.4283,2.65346,4,7,9,7,420,RWBY,3,2,I Burn (Extended Remix feat. Casey Lee Williams),448,Marathon,bc7712316c896b54ff07344c43da2495,0,theme song monty oum rooster teeth red white black yellow yang xiao long roosterteeth soundtrack blake belladonna ruby rose weiss schnee trailer flame blaze mirror shadows faust,-1,9.4625,483024,32862,801,598,6,2090,1,0,0,0,343060,S902
398882,1,2014-04-07 08:25:57,2014-05-08 00:42:08,2014-05-01 00:29:18,Ray,163756,128,Andrea,33599,3.76373,1.76399,1.84604,4,7,8,6,379,Nagi no Asukara,3,3,ebb and flow (tamame's 5 years after remix),379,Timeless,e1b571ec282da9422593266e699e1dab,0,凪のあすから opening osuplayer111 gero vicho collab collaboration dubstep,-1,9.39007,207790,18459,860,505,3,2034,1,0,0,0,398882,S902
399221,1,2014-04-07 17:54:57,2014-07-03 18:22:15,2014-06-26 17:55:01,Stan SB,163914,175,ProfessionalBox,3250792,4.85952,2.35295,2.31086,4,8,9,6,340,,10,2,Dead,361,Rebirth,7e074ffb7a0df739e87913d14c96e37c,0,fox stevenson dnb drum and bass liquicity liquid big 174 epic vocal vocoder anyone out there marathon,-1,9.59246,1097249,157276,693,521,6,2060,0,0,0,0,399221,S903
401513,1,2014-04-11 23:22:54,2014-06-16 23:22:13,2014-05-27 03:52:10,Demetori,165018,178,jonathanlfj,270377,5.41195,2.59085,2.59043,4,8,9,5,690,Touhou,2,5,Songs Compilation,793,Marathon,464ed62ddf4a67e170fd42ed21536cc0,0,亡き王女の為のセプテット septette for the dead princess ~ ascending into naught リジッドパラダイス rigid paradise ~ dawn of the dead 霊知の太陽信仰 solar sect of mystic wisdom ~ nuclear fusion 優雅に咲かせ、墨染の桜 bloom nobly cherry blossoms of sumizome ~ border of life 幻視の夜 illusionary night ~ ghostly eyes 感情の魔天楼 emotional skyscraper ~ world's end デザイアドライブ desire drive ~ desire dream 彼岸帰航 higan retour ~ view of the river styx 妖怪の山 youkai mountain ~ mysterious mountain 童祭 kid's festival ~ innocent treasures 恋色マスタースパーク love-colored master spark ~ final sorcery 古きユアンシェン old yuanxian zun 東方 love,-1,9.71124,733720,90979,1851,1305,1,4593,1,0,0,0,401513,S902
