beatmap_id,approved,submit_date,approved_date,last_update,artist,set_id,bpm,creator,creator_id,stars,diff_aim,diff_speed,cs,od,ar,hp,drain,source,genre,language,title,length,diffname,file_md5,mode,tags,favorites,rating,playcount,passcount,circles,sliders,spinners,maxcombo,storyboard,video,download_unavailable,audio_unavailable,beatmap_id,pack_id
366919,2,2014-02-07 07:17:44,2014-02-18 19:45:04,2014-02-18 19:38:01,Ray,148382,129,Andrea,33599,3.56367,1.74027,1.67363,4,7,8,6,467,,3,3,Songs Compilation,467,Marathon,549a69bbdf93f68e21cb9cc4a4a93a6e,0,osuplayer111 -umi- umi collab collaboration nagi no asukara to love-ru darkness ano natsu de matteru ebb and flow rakuen project lull ~soshite bokura wa~ sign,-1,9.4495,277185,39935,602,489,8,1655,0,0,0,0,366919,SA14
415307,1,2014-05-02 14:34:34,2014-09-23 16:42:17,2014-08-14 00:35:42,MOSAIC.WAV,171723,182,Laurier,700010,5.84371,2.77231,2.83571,4,7,9,7,379,,5,3,Zen Sekai Teki Touch Panel,380,CrystLer,b78029ce99358935d94496162f288667,0,mi-ko,-1,9.40323,94104,7226,1282,556,6,3282,0,0,0,0,415307,SA15
415693,1,2013-08-09 08:35:59,2014-12-24 11:41:18,2014-12-17 11:34:17,Ayane,109991,128,Kawaiwkyik,1367570,4.10234,2.05475,1.84998,4,7,8,6,304,超次元ゲイム ネプテューヌmk2,2,3,GO Love&Peace,312,Neptunia,e93a542b28deb6cdded0631c1ec7aa26,0,choujigen game neptune ending,-1,9.53409,163997,22906,565,288,1,1177,0,0,0,0,415693,SA16
437377,1,2014-06-08 08:55:16,2014-12-15 05:21:26,2014-12-08 04:54:32,Halozy,182364,176,sjoy,1514083,5.61955,2.65219,2.71756,4,8,9,6.5,318,Touhou,2,3,Paranoid Lost,340,Yuraki,1b3eb38cdf516e4f88eb4855c3fc3f17,0,misato because princess inada is scolding me aki minoriko stormling tonic triangle sumijun 東方風神録 ～ mountain of faith,-1,9.74964,468449,36583,800,513,4,1987,1,0,0,0,437377,SA16
441616,1,2014-06-16 09:42:18,2014-11-03 12:20:50,2014-10-27 12:12:43,kors k,184484,142.675,Reiji-RJ,305389,4.88491,2.43144,2.29343,5,7,8.5,7,385,,10,5,Dot,409,korzhik,acf4286a0d92fbe66094d8ca269a5814,0,ultra abunai cubegrams psy-trance icebeam collab,-1,9.02128,85031,7751,775,491,3,2086,0,0,0,0,441616,SA16
456277,1,2014-07-11 09:17:22,2015-03-10 16:00:18,2015-03-03 15:41:35,Pegboard Nerds,191723,150,Timorisu,2128920,4.45191,2.20518,2.05669,4,8,9,7,291,,10,2,Hero (feat. Elizaveta),312,Villain,cd0ac2dc88541b1f6fceebf1c0256705,0,hard dance trap edm dubstep monstercat 017 ascension inverness,-1,9.34885,2371988,272405,361,272,12,1283,0,0,0,0,456277,SA18
457061,1,2014-07-12 14:56:56,2014-09-11 19:22:19,2014-09-04 19:04:36,onoken,192137,180,Kloyd,1574070,6.00204,2.83789,2.9344,5,8,9.3,6.5,342,,10,5,P8107,357,KA071,8d57ee502f4f6b70af1035029ff9398f,0,hello boss diverse system digital hardcore bms rave happy623,-1,9.77477,426678,24088,1374,568,6,2659,1,0,0,0,457061,SA15
459513,1,2014-07-16 23:48:06,2014-10-20 10:40:42,2014-10-13 10:10:30,Porter Robinson,193396,88.5,Ayu,1267151,3.34902,1.74769,1.48348,4.2,7,8.5,6.5,337,,10,2,Sad Machine,340,Upset,e6dfad7d9152db4dc127db5dba363067,0,avanna vocaloid zero-g marathon,-1,9.33901,814586,149728,294,467,1,1423,0,0,0,0,459513,SA15
512707,1,2014-10-02 14:34:54,2014-10-23 03:40:31,2014-10-16 03:15:07,EGOIST,218766,172,captin1,689997,4.83106,2.38717,2.30853,4.2,8,9,7,307,ギルティクラウン,3,3,The Everlasting Guilty Crown,315,Heart,f1196634ecfd89828a80d9e92673d5bc,0,chelly ryo supercell opening full,-1,9.61964,517990,66538,454,533,4,1794,0,0,0,0,512707,SA15
522968,1,2014-10-18 13:06:13,2015-01-30 02:00:58,2015-01-17 03:39:17,senya,223960,152,Sellenite,3364931,5.13939,2.45689,2.45265,4,7,9,6,305,Touhou,2,3,Sakuretsu Irony,306,Phantasm,cf3fbc5518fdaf05c4a025b21b89704e,0,かませ虎 幽閉サテライト ネクロファンタジア iceon yuuhei satellite yakumo yukari dagger-gazel examination,-1,9.66746,197745,25959,930,360,1,1717,1,0,0,0,522968,SA17
